Realm Name,Type,Population
Garrosh,Normal,Medium
Ghostlands,Normal,Medium
Gilneas,Normal,Medium
Gnomeregan,Normal,Medium
Gorefiend,(PvP),Medium
Gorgonnash,(PvP),Medium
Greymane,Normal,Medium
Grizzly Hills,Normal,Low
Gul'dan,(PvP),Low
Gundrak,(PvP),Low
Gurubashi,(PvP),Medium
Hakkar,(PvP),Low
Haomarush,(PvP),Medium
Hellscream,Normal,Max (Queued)
Hydraxis,Normal,Medium
Hyjal,Normal,Max (Queued)
Icecrown,Normal,Max (Queued)
Illidan,(PvP),Max (Queued)
Jaedenar,(PvP),Low
Jubei'Thos,(PvP),Low
Kael'thas,Normal,Medium
Kalecgos,(PvP),Medium
Kargath,Normal,High
Kel'Thuzad,(PvP),Max (Queued)
Khadgar,Normal,High
Khaz Modan,Normal,Medium
Khaz'goroth,Normal,Low
Kil'Jaeden,(PvP),Max (Queued)
Kilrogg,Normal,High
Kirin Tor,(RP),Medium
Korgath,(PvP),High
Korialstrasz,Normal,Medium
Kul Tiras,Normal,Medium
Laughing Skull,(PvP),Max (Queued)
Lethon,(PvP),Low
Lightbringer,Normal,High
Lightning's Blade,(PvP),Max (Queued)
Lightninghoof,(RPPvP),Max (Queued)
Llane,Normal,Medium
Lothar,Normal,High
Madoran,Normal,Medium
Maelstrom,(RPPvP),Max (Queued)
Magtheridon,(PvP),Max (Queued)
Maiev,(PvP),Low
Mal'Ganis,(PvP),Max (Queued)
Malfurion,Normal,Medium
Malorne,(PvP),Medium
Malygos,Normal,Medium
Mannoroth,(PvP),Max (Queued)
Medivh,Normal,High
Misha,Normal,Medium
Mok'Nathal,Normal,Medium
Moon Guard,(RP),Medium
Moonrunner,Normal,Max (Queued)
Mug'thol,(PvP),High
Muradin,Normal,Medium
Nagrand,Normal,Low
Nathrezim,(PvP),Medium
Nazgrel,Normal,Medium
Nazjatar,(PvP),Low
Ner'zhul,(PvP),High
Nordrassil,Normal,Medium
Norgannon,Normal,Medium
Onyxia,(PvP),Low
Perenolde,Normal,High
Proudmoore,Normal,Medium
Quel'dorei,Normal,Medium
Quel'Thalas,Normal,Low
Ragnaros,(PvP),Medium
Ravencrest,Normal,Medium
Ravenholdt,(RPPvP),Medium
Rexxar,Normal,High
Rivendare,(PvP),Medium
Runetotem,Normal,Medium
Sargeras,(PvP),Max (Queued)
Saurfang,Normal,Low
Scarlet Crusade,(RP),Medium
Scilla,(PvP),Max (Queued)
Sen'Jin,Normal,Medium
Sentinels,(RP),Low
Shadow Council,(RP),Medium
Shadowmoon,(PvP),Medium
Shadowsong,Normal,Max (Queued)
Shandris,Normal,Medium
Shattered Halls,(PvP),Low
Shattered Hand,(PvP),Max (Queued)
Shu'halo,Normal,Medium
Silver Hand,(RP),High
Silvermoon,Normal,Max (Queued)
Sisters of Elune,(RP),Medium
Skullcrusher,(PvP),Max (Queued)
Skywall,Normal,Max (Queued)
Smolderthorn,(PvP),Medium
Spinebreaker,(PvP),Max (Queued)
Spirestone,(PvP),Medium
Staghelm,Normal,Medium
Steamwheedle Cartel,(RP),Medium
Stonemaul,(PvP),Medium
Stormrage,Normal,High
Stormreaver,(PvP),Max (Queued)
Stormscale,(PvP),Max (Queued)
Suramar,Normal,High
Tanaris,Normal,Medium
Terenas,Normal,Medium
Terokkar,Normal,Medium
Thaurissan,(PvP),Low
The Forgotten Coast,(PvP),Medium
The Scryers,(RP),Medium
The Underbog,(PvP),Low
The Venture Co,(RPPvP),Medium
Thorium Brotherhood,(RP),Low
Thrall,Normal,Max (Queued)
Thunderhorn,Normal,High
Thunderlord,(PvP),Medium
Tichondrius,(PvP),Max (Queued)
Tortheldrin,(PvP),Medium
Trollbane,Normal,Medium
Turalyon,Normal,Medium
Twisting Nether,(RPPvP),Max (Queued)
Uldaman,Normal,Medium
Uldum,Normal,Medium
Undermine,Normal,Medium
Ursin,(PvP),Low
Uther,Normal,Max (Queued)
Vashj,(PvP),Low
Vek'nilash,Normal,Medium
Velen,Normal,Medium
Warsong,(PvP),Medium
Whisperwind,Normal,Max (Queued)
WildHammer,(PvP),Max (Queued)
Windrunner,Normal,Max (Queued)
Winterhoof,Normal,Low
Wyrmrest Accord,(RP),Low
Ysera,Normal,Medium
Ysondre,(PvP),Low
Zangarmarsh,Normal,Medium
Zul'jin,Normal,Max (Queued)
Zuluhed,(PvP),Low
